,$,variavel,keyword,number,string_literal,init_program,close_program,if,else,endif,loop,endloop,write,read,var,""";""","""=""","""+""","""-""","""*""","""/""","""<""",""">""",""")""","""("""
<lotus>,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<recursive_statement>,-,2,-,-,-,-,3,2,3,3,2,3,2,2,2,-,-,-,-,-,-,-,-,-,-
<statement>,-,9,-,-,-,-,-,6,-,-,7,-,4,5,8,-,-,-,-,-,-,-,-,-,-
<write>,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-
<read>,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-
<conditional>,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<if>,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<else>,-,-,-,-,-,-,-,-,14,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<loop>,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<while>,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<declaration>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-
<assignment>,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<basic_expression>,-,20,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,22,23,-,-,-,-,-,24
<basic_operator>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,25,26,27,28,-,-,29,-
<string_expression>,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<any_expression>,-,33,-,33,34,-,-,-,-,-,-,-,-,-,-,-,-,33,33,-,-,-,-,-,33
<logical_expression>,-,37,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<id_or_number>,-,31,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<logical_operator>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,36,-,-
